eartag,species,date,dpi,barn,general,temp,feces,odnd,headmucos,resp,totscore,autosum,tempc,scorer,notes,,,,,
282,Caprine,29/3/2022,0,5,0,0,0,0,0,0,0,0,39.2,Fasil,Negative control,,,,,
288,Caprine,29/3/2022,0,5,0,0,0,0,0,0,0,0,39.4,Fasil,Negative control,,,,,
297,Caprine,29/3/2022,0,5,0,0,0,0,0,0,0,0,38.5,Fasil,Negative control,,,,,
299,Caprine,29/3/2022,0,6,0,0,0,0,0,0,0,0,38.8,Fasil,Inoculation day,,,,,
300,Caprine,29/3/2022,0,6,0,0,0,0,0,0,0,0,38.2,Fasil,Inoculation day,,,,,
301,Caprine,29/3/2022,0,6,0,0,0,0,0,0,0,0,38.8,Fasil,Inoculation day,,,,,
277,Caprine,29/3/2022,0,2,0,0,0,0,0,0,0,0,38.7,Fasil,Inoculation day,,,,,
286,Caprine,29/3/2022,0,2,0,0,0,0,0,0,0,0,39.2,Fasil,Inoculation day,,,,,
296,Caprine,29/3/2022,0,2,0,0,0,0,0,0,0,0,39.1,Fasil,Inoculation day,,,,,
279,Caprine,29/3/2022,0,3,0,0,0,0,0,0,0,0,38.3,Fasil,Inoculation day,,,,,
289,Caprine,29/3/2022,0,3,0,0,0,0,0,0,0,0,38.6,Fasil,Inoculation day,,,,,
292,Caprine,29/3/2022,0,3,0,0,0,0,0,0,0,0,39,Fasil,Inoculation day,,,,,
282,Caprine,30/3/2022,1,5,0,0,0,0,0,0,0,0,38.1,Fasil,,,,,,
288,Caprine,30/3/2022,1,5,0,0,0,0,0,0,0,0,39.1,Fasil,,,,,,
297,Caprine,30/3/2022,1,5,0,0,0,0,0,0,0,0,38.5,Fasil,,,,,,
299,Caprine,30/3/2022,1,6,0,0,0,0,0,0,0,0,38.4,Fasil,,,,,,
300,Caprine,30/3/2022,1,6,0,0,0,0,0,0,0,0,37.7,Fasil,,,,,,
301,Caprine,30/3/2022,1,6,0,0,0,0,0,0,0,0,38.1,Fasil,,,,,,
277,Caprine,30/3/2022,1,2,0,0,0,0,0,0,0,0,38.3,Fasil,,,,,,
286,Caprine,30/3/2022,1,2,0,0,0,0,0,0,0,0,38.8,Fasil,,,,,,
296,Caprine,30/3/2022,1,2,0,0,0,0,0,0,0,0,38.4,Fasil,,,,,,
279,Caprine,30/3/2022,1,3,0,0,0,0,0,0,0,0,38.1,Fasil,,,,,,
