eartag,species,date,dpi,barn,general,temp,feces,odnd,headmucos,resp,totscore,autosum,tempc,scorer,notes,,,,,,,,
282,Caprine,29/3/2022,0,5,0,0,0,0,0,0,0,0,39.2,Fasil,Negative control,,,,,,,,
288,Caprine,29/3/2022,0,5,0,0,0,0,0,0,0,0,39.4,Fasil,Negative control,,,,,,,,
297,Caprine,29/3/2022,0,5,0,0,0,0,0,0,0,0,38.5,Fasil,Negative control,,,,,,,,
299,Caprine,29/3/2022,0,6,0,0,0,0,0,0,0,0,38.8,Fasil,Inoculation day,,,,,,,,
300,Caprine,29/3/2022,0,6,0,0,0,0,0,0,0,0,38.2,Fasil,Inoculation day,,,,,,,,
301,Caprine,29/3/2022,0,6,0,0,0,0,0,0,0,0,38.8,Fasil,Inoculation day,,,,,,,,
277,Caprine,29/3/2022,0,2,0,0,0,0,0,0,0,0,38.7,Fasil,Inoculation day,,,,,,,,
286,Caprine,29/3/2022,0,2,0,0,0,0,0,0,0,0,39.2,Fasil,Inoculation day,,,,,,,,
296,Caprine,29/3/2022,0,2,0,0,0,0,0,0,0,0,39.1,Fasil,Inoculation day,,,,,,,,
279,Caprine,29/3/2022,0,3,0,0,0,0,0,0,0,0,38.3,Fasil,Inoculation day,,,,,,,,
289,Caprine,29/3/2022,0,3,0,0,0,0,0,0,0,0,38.6,Fasil,Inoculation day,,,,,,,,
292,Caprine,29/3/2022,0,3,0,0,0,0,0,0,0,0,39,Fasil,Inoculation day,,,,,,,,
287,Caprine,14/6/2022,0,3,0,0,0,0,0,0,0,0,38.6,Fasil,Negative control,,,,,,,,
290,Caprine,14/6/2022,0,3,0,0,0,0,0,0,0,0,38.7,Fasil,Negative control,,,,,,,,
295,Caprine,14/6/2022,0,3,0,0,0,0,0,0,0,0,38.6,Fasil,Negative control,,,,,,,,
281,Caprine,14/6/2022,0,1,0,0,0,0,0,0,0,0,38.4,Fasil,Inoculation day,,,,,,,,
291,Caprine,14/6/2022,0,1,0,0,0,0,0,0,0,0,38.5,Fasil,Inoculation day,,,,,,,,
293,Caprine,14/6/2022,0,1,0,0,0,0,0,0,0,0,38.5,Fasil,Inoculation day,,,,,,,,
278,Caprine,14/6/2022,0,4,0,0,0,0,0,0,0,0,38.5,Fasil,Inoculation day,,,,,,,,
294,Caprine,14/6/2022,0,4,0,0,0,0,0,0,0,0,39.3,Fasil,Inoculation day,,,,,,,,
