eartag,species,date,dpi,barn,od1,od2,delete,od_avg,sn,status,notes2,expt
281,Caprine,14/6/2022,0,1,1.174,1.153,N,1.1635,85.80383481,Neg,,
291,Caprine,14/6/2022,0,1,1.283,1.254,N,1.2685,93.54719764,Neg,,
293,Caprine,14/6/2022,0,1,1.092,1.121,N,1.1065,81.60029499,Neg,,
287,Caprine,14/6/2022,0,3,1.126,1.184,N,1.155,85.17699115,Neg,,Negative Control
290,Caprine,14/6/2022,0,3,1.199,1.179,N,1.189,87.68436578,Neg,,Negative Control
295,Caprine,14/6/2022,0,3,1.246,1.224,N,1.235,91.07669617,Neg,,Negative Control
278,Caprine,14/6/2022,0,4,1.15,1.145,N,1.1475,84.62389381,Neg,,
294,Caprine,14/6/2022,0,4,1.289,1.245,N,1.267,93.43657817,Neg,,
298,Caprine,14/6/2022,0,4,1.246,1.26,N,1.253,92.40412979,Neg,,
276,Caprine,14/6/2022,0,6,1.123,1.333,N,1.228,90.56047198,Neg,,
280,Caprine,14/6/2022,0,6,1.326,1.309,N,1.3175,97.16076696,Neg,,
283,Caprine,14/6/2022,0,6,1.288,1.25,N,1.269,93.5840708,Neg,,
281,Caprine,15/6/2022,1,1,1.158,1.147,N,1.1525,84.99262537,Neg,,
291,Caprine,15/6/2022,1,1,1.273,1.25,N,1.2615,93.03097345,Neg,,
293,Caprine,15/6/2022,1,1,1.159,1.141,N,1.15,84.80825959,Neg,,
287,Caprine,15/6/2022,1,3,1.193,1.238,N,1.2155,89.63864307,Neg,,Negative Control
290,Caprine,15/6/2022,1,3,1.447,1.471,N,1.459,107.5958702,Neg,,Negative Control
295,Caprine,15/6/2022,1,3,1.378,1.332,N,1.355,99.92625369,Neg,,Negative Control
278,Caprine,15/6/2022,1,4,1.223,1.187,N,1.205,88.86430678,Neg,,
294,Caprine,15/6/2022,1,4,1.239,1.199,N,1.219,89.89675516,Neg,,
298,Caprine,15/6/2022,1,4,1.253,1.204,N,1.2285,90.59734513,Neg,,
276,Caprine,15/6/2022,1,6,1.192,1.188,N,1.19,87.75811209,Neg,,
280,Caprine,15/6/2022,1,6,1.277,1.297,N,1.287,94.91150442,Neg,,
283,Caprine,15/6/2022,1,6,1.254,1.236,N,1.245,91.81415929,Neg,,
281,Caprine,17/6/2022,3,1,1.139,1.236,N,1.1875,87.57374631,Neg,,
291,Caprine,17/6/2022,3,1,1.294,1.26,N,1.277,94.1740413,Neg,,
293,Caprine,17/6/2022,3,1,1.184,1.134,N,1.159,85.4719764,Neg,,
287,Caprine,17/6/2022,3,3,1.316,1.341,N,1.3285,97.9719764,Neg,,Negative Control
290,Caprine,17/6/2022,3,3,1.166,1.172,N,1.169,86.20943953,Neg,,Negative Control
295,Caprine,17/6/2022,3,3,1.289,1.263,N,1.276,94.10029499,Neg,,Negative Control
278,Caprine,17/6/2022,3,4,1.21,1.154,N,1.182,87.16814159,Neg,,
294,Caprine,17/6/2022,3,4,1.286,1.238,N,1.262,93.06784661,Neg,,
298,Caprine,17/6/2022,3,4,1.31,1.264,N,1.287,94.91150442,Neg,,
276,Caprine,17/6/2022,3,6,1.361,1.313,N,1.337,98.59882006,Neg,,
280,Caprine,17/6/2022,3,6,1.345,1.315,N,1.33,98.08259587,Neg,,
283,Caprine,17/6/2022,3,6,1.336,1.315,N,1.3255,97.75073746,Neg,,
281,Caprine,19/6/2022,5,1,1.17,1.11,N,1.14,75.71,Neg,,
291,Caprine,19/6/2022,5,1,1.14,1.15,N,1.14,75.84,Neg,,
293,Caprine,19/6/2022,5,1,1.23,1.18,N,1.20,79.96,Neg,,
287,Caprine,19/6/2022,5,3,1.165,1.113,N,1.139,75.70621469,Neg,,Negative Control
290,Caprine,19/6/2022,5,3,1.137,1.145,N,1.141,75.83914922,Neg,,Negative Control
295,Caprine,19/6/2022,5,3,1.225,1.181,N,1.203,79.96011964,Neg,,Negative Control
278,Caprine,19/6/2022,5,4,1.526,1.601,N,1.5635,103.9215686,Neg,,
294,Caprine,19/6/2022,5,4,1.31,1.351,N,1.3305,88.43469591,Neg,,
298,Caprine,19/6/2022,5,4,1.133,1.155,N,1.144,76.03855101,Neg,,
276,Caprine,19/6/2022,5,6,1.111,1.296,N,1.2035,79.99335327,Neg,,
280,Caprine,19/6/2022,5,6,1.259,1.234,N,1.2465,82.85144566,Neg,,
283,Caprine,19/6/2022,5,6,1.185,1.181,N,1.183,78.63077434,Neg,,
281,Caprine,21/6/2022,7,1,0.339,0.332,P,0.3355,22.29976736,Pos,,
291,Caprine,21/6/2022,7,1,0.406,0.393,P,0.3995,26.55367232,Pos,,
293,Caprine,21/6/2022,7,1,0.495,0.511,P,0.503,33.43303423,Pos,,
287,Caprine,21/6/2022,7,3,1.282,1.162,N,1.222,81.22299767,Neg,,Negative Control
290,Caprine,21/6/2022,7,3,1.172,1.345,N,1.2585,83.64905284,Neg,,Negative Control
295,Caprine,21/6/2022,7,3,1.198,1.288,N,1.243,82.61881024,Neg,,Negative Control
278,Caprine,21/6/2022,7,4,0.667,0.68,P,0.6735,44.76570289,Pos,,
294,Caprine,21/6/2022,7,4,0.552,0.526,P,0.539,35.82585577,Pos,,
298,Caprine,21/6/2022,7,4,0.621,0.579,P,0.6,39.88035892,Pos,,
276,Caprine,21/6/2022,7,6,0.385,0.343,P,0.364,24.19408441,Pos,,
280,Caprine,21/6/2022,7,6,0.241,0.249,P,0.245,16.28447989,Pos,,
283,Caprine,21/6/2022,7,6,0.226,0.206,P,0.216,14.35692921,Pos,,
281,Caprine,24/6/2022,10,1,,,,,,,,
291,Caprine,24/6/2022,10,1,0.103,0.124,P,0.1135,7.544034563,Pos,,
293,Caprine,24/6/2022,10,1,0.116,0.129,P,0.1225,8.142239947,Pos,,
287,Caprine,24/6/2022,10,3,1.177,1.272,N,1.2245,81.38916584,Neg,,Negative Control
290,Caprine,24/6/2022,10,3,1.377,1.344,N,1.3605,90.42871386,Neg,,Negative Control
295,Caprine,24/6/2022,10,3,1.341,1.359,N,1.35,89.73080758,Neg,,Negative Control
278,Caprine,24/6/2022,10,4,0.087,0.12,P,0.1035,6.879361914,Pos,,
294,Caprine,24/6/2022,10,4,0.11,0.133,P,0.1215,8.075772682,Pos,,
298,Caprine,24/6/2022,10,4,,,,,,,,
276,Caprine,24/6/2022,10,6,,,,,,,,
280,Caprine,24/6/2022,10,6,0.111,0.135,P,0.123,8.175473579,Pos,,
283,Caprine,24/6/2022,10,6,0.12,0.128,P,0.124,8.241940844,Pos,,
281,Caprine,26/6/2022,12,1,,,,,,,,
291,Caprine,26/6/2022,12,1,,,,,,,,
293,Caprine,26/6/2022,12,1,0.135,0.145,P,0.14,9.305417082,Pos,,
287,Caprine,26/6/2022,12,3,1.213,1.211,N,1.212,80.55832502,Neg,,Negative Control
290,Caprine,26/6/2022,12,3,1.26,1.392,N,1.326,88.13559322,Neg,,Negative Control
295,Caprine,26/6/2022,12,3,1.371,1.39,N,1.3805,91.75805916,Neg,,Negative Control
278,Caprine,26/6/2022,12,4,,,,,,,,
294,Caprine,26/6/2022,12,4,0.125,0.138,P,0.1315,8.740445331,Pos,,
298,Caprine,26/6/2022,12,4,,,,,,,,
276,Caprine,26/6/2022,12,6,,,,,,,,
280,Caprine,26/6/2022,12,6,0.185,0.173,P,0.179,11.89764041,Pos,,
283,Caprine,26/6/2022,12,6,,,,,,,,
